#Coor Free
0.491803 1.315511
3.475410 1.345695
6.459016 1.543191
9.442623 1.735489
12.426230 1.893619
15.409836 2.076544
18.393443 2.336597
21.377049 2.612317
24.360656 2.961429
27.344262 3.241139
30.327869 3.553196
33.311475 3.890305
36.295082 4.251340
39.278689 4.641512
42.262295 5.047285
45.245902 5.462982
48.229508 5.872134
51.213115 6.347042
54.196721 6.855347
57.180328 7.406499
60.163934 8.028900
63.147541 8.622152
66.131148 9.260807
69.114754 9.875131
72.098361 10.447097
75.081967 11.095707
78.065574 11.698845
81.049180 12.163039
84.032787 12.041343
87.016393 11.528961
90.000000 10.933455
92.983607 10.389127
95.967213 9.810052
98.950820 9.224631
101.934426 8.662881
104.918033 8.130118
107.901639 7.567256
110.885246 7.029802
113.868852 6.482397
116.852459 5.888828
119.836066 5.287703
122.819672 4.748406
125.803279 4.254340
128.786885 3.779543
131.770492 3.339124
134.754098 2.981270
137.737705 2.582066
140.721311 2.240693
143.704918 1.878789
146.688525 1.539764
149.672131 1.259015
152.655738 0.964832
155.639344 0.717216
158.622951 0.528924
161.606557 0.342070
164.590164 0.194893
167.573770 0.116381
170.557377 0.050876
173.540984 0.018181
176.524590 0.000000
179.508197 0.034532
#Window Free
#0 0.000000
#1 -0.163960
#2 -0.044622
#3 0.140283
#4 0.315993
#5 0.500353
#6 0.731049
#7 1.004572
#8 1.315568
#9 1.626941
#10 1.932543
#11 2.260859
#12 2.613991
#13 2.992503
#14 3.392010
#15 3.803807
#16 4.222768
#17 4.670661
#18 5.162754
#19 5.695350
#20 6.276190
#21 6.884776
#22 7.502375
#23 8.127457
#24 8.732378
#25 9.343089
#26 9.957247
#27 10.410973
#28 10.323209
#29 9.820297
#30 9.252102
#31 8.683114
#32 8.101646
#33 7.528107
#34 6.974526
#35 6.423184
#36 5.871572
#37 5.320509
#38 4.745107
#39 4.152315
#40 3.585876
#41 3.065121
#42 2.577616
#43 2.121011
#44 1.712037
#45 1.329433
#46 0.956824
#47 0.600649
#48 0.251903
#49 -0.066107
#50 -0.357586
#51 -0.629987
#52 -0.860064
#53 -1.054335
#54 -1.225328
#55 -1.353630
#56 -1.437146
#57 -1.494220
#58 -1.526167
#59 -1.517405
#60 -1.297993
